celebrity_name,season,placement,week1_fan_vote_pct,week2_fan_vote_pct,week3_fan_vote_pct,week4_fan_vote_pct,week5_fan_vote_pct,week6_fan_vote_pct,week7_fan_vote_pct,week8_fan_vote_pct,week9_fan_vote_pct,week10_fan_vote_pct,week11_fan_vote_pct
Drew Scott,25,4,0.016211748228668856,0.08052453986366094,0.07692307691538464,0.079373682455067,0.08500736933588836,0.08038712722734201,0.07692307920787105,0.09331285210712079,0.09158260743643848,0.06734877588933318,0.0
Vanessa Lachey,25,7,0.07692308207347925,0.07692308092723595,0.07692307691538464,0.079373682455067,0.0869230782333871,0.07692307863474943,0.07994633134574639,0.07692307920675166,0.07692307829550117,0.07692307863478441,0.0
Jamie Anderson,26,10,0.07800165973005632,0.10000000297032328,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Damon,26,9,0.10587674874055893,0.10000000297032328,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kareem Abdul-Jabbar,26,8,0.10708043186501513,0.08056073542331023,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arike Ogunbowale,26,7,0.10361646105206475,0.10000000297032328,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jennie Finch Daigle,26,6,0.10248631720811348,0.10626168158758637,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Mazdzer,26,5,0.10248631720811348,0.10345794322495033,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirai Nagasu,26,4,0.10022602952835431,0.10000000297032328,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tonya Harding,26,3,0.10022602952835431,0.10345794322495033,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Norman,26,2,0.10000000251968369,0.10626168158758637,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Rippon,26,1,0.10000000251968369,0.10000000297032328,0.09999999999,0.09999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Pablo Di Pace,27,5,0.0773856081141717,0.07692308035355461,0.07692308207180018,0.08206990556168067,0.07692307691538464,0.0769230783746732,0.08009759918139625,0.02751606540201104,0.07692307691538464,0.0,0.0
Evanna Lynch,27,3,0.08046914423917761,0.07692308035355461,0.07769798613348852,0.08206990556168067,0.07692307691538464,0.0769230783746732,0.07867617135679035,0.08294659682395587,0.07692307691538464,0.0,0.0
Nancy McKeon,27,11,0.07931281819341136,0.08322621915399797,0.02566843325832221,0.07653277017134756,0.07692307691538464,0.0769230783746732,0.07692307858024916,0.0766395533561326,0.07692307691538464,0.0,0.0
John Schneider,27,8,0.08046914423917761,0.0813777902605862,0.08876809743425176,0.08457162398618896,0.07692307691538464,0.08756788399042655,0.049489510783475604,0.0766395533561326,0.07692307691538464,0.0,0.0
Milo Manheim,27,2,0.07892737617634411,0.07692308035355461,0.07769798613348852,0.07790037480843263,0.07692307691538464,0.0769230783746732,0.07914998062136797,0.08518843756448229,0.07692307691538464,0.0,0.0
Danelle Umstead,27,12,0.08046914423917761,0.043725275088214194,0.07692308207180018,0.07653277017134756,0.07692307691538464,0.0769230783746732,0.07692307856636206,0.0766395533561326,0.07692307691538464,0.0,0.0
Mary Lou Retton,27,9,0.0789273761763441,0.07860514692046851,0.08323304178387014,0.08040209323591439,0.07692307691538464,0.047033160569170264,0.07692307856636206,0.0766395533561326,0.07692307691538464,0.0,0.0
DeMarcus Ware,27,7,0.07692307916788725,0.07768093247376262,0.07954300468846637,0.08373771780688982,0.07692307691538464,0.0797898409244927,0.08151902699753656,0.0766395533561326,0.07692307691538464,0.0,0.0
Nikki Glaser,27,13,0.05032756553283364,0.07692308035355461,0.07692308207180018,0.07653277017134756,0.07692307691538464,0.07692307836264498,0.07692307858013547,0.0766395533561326,0.07692307691538464,0.0,0.0
Bobby Bones,27,1,0.07892737618281477,0.08507464804740976,0.08507806033884799,0.08540553010837282,0.07692307691538464,0.08423443695176029,0.08151902699753656,0.0929476878798232,0.07692307691538464,0.0,0.0
Tinashe,27,10,0.07692307916802853,0.07692308035355461,0.07769798614076448,0.02343347810433361,0.07692307691538464,0.07692307836264498,0.07692307858036163,0.0766395533561326,0.07692307691538464,0.0,0.0
Alexis Ren,27,4,0.07738560811753584,0.07692308035355461,0.07954300468846637,0.08123599938224564,0.07692307691538464,0.07867869191373389,0.08057140844166638,0.082946596827257,0.07692307691538464,0.0,0.0
Joe Amabile,27,6,0.08355268035309579,0.08877150583423334,0.09430315308463338,0.08957506083470158,0.07692307691538464,0.08423443695176029,0.08436188264676017,0.09197774191141928,0.07692307691538464,0.0,0.0
Kate Flannery,28,7,0.08929120965697838,0.08333333704998729,0.083333333325,0.0833333339459575,0.083333333325,0.08674049427764127,0.09457095813925635,0.04260888883059928,0.083333333325,0.08333333456672554,0.083333333325
James Van Der Beek,28,5,0.022514322257995757,0.08333333704998729,0.083333333325,0.0833333339459575,0.083333333325,0.08674049427764127,0.08714521528559911,0.0833333345661571,0.083333333325,0.07424241801380464,0.083333333325
Kel Mitchell,28,2,0.08878062568568121,0.08333333704998729,0.083333333325,0.0833333339459575,0.083333333325,0.08735864683291628,0.09085808671242773,0.0833333345661571,0.083333333325,0.08333333456672554,0.083333333325
Ray Lewis,28,11,0.08929120965138795,0.09333333363347072,0.083333333325,0.0833333339459575,0.083333333325,0.08392171984759592,0.08333333767177856,0.0833333345661571,0.083333333325,0.08333333456672554,0.083333333325
Lamar Odom,28,10,0.09223234075520734,0.10018264891838656,0.083333333325,0.07510637991625246,0.083333333325,0.08392171985437734,0.08333333767177856,0.0833333345661571,0.083333333325,0.08333333456672554,0.083333333325
Sailor Brinkley-Cook,28,9,0.08775945773498636,0.08648401835219288,0.083333333325,0.0833333339459575,0.083333333325,0.04503859796062118,0.08333333767177856,0.0833333345661571,0.083333333325,0.08333333456672554,0.083333333325
Sean Spicer,28,6,0.09082296151692618,0.09105022854213676,0.083333333325,0.09156028052417237,0.083333333325,0.09044940945726056,0.10199670100746551,0.10887691862405112,0.083333333325,0.08333333456672554,0.083333333325
Mary Wilson,28,12,0.08827004168018181,0.04388125868215861,0.083333333325,0.0833333339459575,0.083333333325,0.08392171985468241,0.08333333767177856,0.0833333345661571,0.083333333325,0.08333333456672554,0.083333333325
Lauren Alaina,28,4,0.08724887378327595,0.08420091326085892,0.083333333325,0.0833333339459575,0.083333333325,0.08735864686455729,0.08714521527832315,0.09851418134993545,0.083333333325,0.08787878539283266,0.083333333325
Ally Brooke,28,3,0.08878062565532391,0.08333333704998729,0.083333333325,0.0833333339459575,0.083333333325,0.0879767993924576,0.08714521527832315,0.0833333345661571,0.083333333325,0.08333333456672554,0.083333333325
Karamo Brown,28,8,0.0882700417110565,0.08420091326085892,0.083333333325,0.0833333339459575,0.083333333325,0.0879767993924576,0.028184794608005687,0.0833333345661571,0.083333333325,0.08333333456672554,0.083333333325
Hannah Brown,28,1,0.08673828982102011,0.08333333704998729,0.083333333325,0.0833333339459575,0.083333333325,0.08859495188907905,0.08962046290348485,0.0833333345661571,0.083333333325,0.08787878539283266,0.083333333325
